id;street_address;zip_code;city;state_province
1;Industrial;74938-9579;North Keyon;Aruba
2;software scale interactive;53926-5212;Cummerataton;Administrator
3;reinvent 24 hour Jewelery;77777;Aprilside;deposit Internal
4;Investment Account archive Fantastic Plastic Chicken;67562;MacGyverview;Frozen bus
5;hard drive Robust Networked;57410;North Collin;Dynamic
6;knowledge base Buckinghamshire;12645-7229;New Effiechester;JSON
7;virtual deposit;48214-8853;Cartwrightside;support Gorgeous
8;withdrawal;83830;South Kadenbury;magenta Concrete
9;User-centric Gloves;55743;Port Deontaeshire;Quality-focused
10;card Plastic;02695-4002;Port Lorenza;Canadian Dollar
